scenario,size,method,success_rate,avg_return,avg_steps_on_success,prep_time_sec,eval_time_sec,total_time_sec
easy,10,CSPReplanning,1.0,6.558333333333334,19.175,0.0,0.17773724999278784,0.17773724999278784
easy,10,ValueIteration,1.0,7.033333333333333,18.833333333333332,0.01830145900021307,0.0037532919959630817,0.022054750996176153
easy,10,QLearning,1.0,6.741666666666666,19.025,0.07928479199472349,0.0045076249953126535,0.08379241699003614
medium,12,CSPReplanning,1.0,-1.0583333333333333,26.891666666666666,0.0,0.3387816249887692,0.3387816249887692
medium,12,ValueIteration,1.0,-0.6333333333333333,26.3,0.037911291990894824,0.005004457998438738,0.04291574998933356
medium,12,QLearning,1.0,-1.25,26.983333333333334,0.1151630409876816,0.0065083749941550195,0.12167141598183662
hard,14,CSPReplanning,0.0,0.0,,1.9169965526089072e-06,0.021069875001558103,0.02107179199811071
hard,14,ValueIteration,0.9833333333333333,-24.233333333333334,38.54237288135593,0.2842297079914715,0.007771749995299615,0.29200145798677113
hard,14,QLearning,0.0,-56.86666666666667,,0.19177991600008681,0.013866167006199248,0.20564608300628606

